No.,0,1,2,3,tag,predict
0,5.1,3.5,1.4,0.2,Iris-setosa,Iris-setosa
1,4.9,3,1.4,0.2,Iris-setosa,Iris-setosa
2,4.7,3.2,1.3,0.2,Iris-setosa,Iris-setosa
3,4.6,3.1,1.5,0.2,Iris-setosa,Iris-setosa
4,5,3.6,1.4,0.2,Iris-setosa,Iris-setosa
5,5.4,3.9,1.7,0.4,Iris-setosa,Iris-setosa
6,4.6,3.4,1.4,0.3,Iris-setosa,Iris-setosa
7,5,3.4,1.5,0.2,Iris-setosa,Iris-setosa
8,4.4,2.9,1.4,0.2,Iris-setosa,Iris-setosa
9,4.9,3.1,1.5,0.1,Iris-setosa,Iris-setosa
10,5.4,3.7,1.5,0.2,Iris-setosa,Iris-setosa
11,4.8,3.4,1.6,0.2,Iris-setosa,Iris-setosa
12,7,3.2,4.7,1.4,Iris-versicolor,Iris-versicolor
13,6.4,3.2,4.5,1.5,Iris-versicolor,Iris-versicolor
14,6.9,3.1,4.9,1.5,Iris-versicolor,Iris-versicolor
15,5.5,2.3,4,1.3,Iris-versicolor,Iris-versicolor
16,6.5,2.8,4.6,1.5,Iris-versicolor,Iris-versicolor
17,5.7,2.8,4.1,1.3,Iris-versicolor,Iris-versicolor
18,6.3,3.3,4.7,1.6,Iris-versicolor,Iris-versicolor
19,4.9,2.4,3.3,1,Iris-versicolor,Iris-versicolor
20,6.6,2.9,4.6,1.3,Iris-versicolor,Iris-versicolor
21,5.2,2.7,3.9,1.4,Iris-versicolor,Iris-versicolor
22,5,2,3.5,1,Iris-versicolor,Iris-versicolor
23,5.9,3,4.2,1.5,Iris-versicolor,Iris-versicolor
24,6,2.2,4,1,Iris-versicolor,Iris-versicolor
25,6.3,3.3,6,2.5,Iris-virginica,Iris-virginica
26,5.8,2.7,5.1,1.9,Iris-virginica,Iris-virginica
27,7.1,3,5.9,2.1,Iris-virginica,Iris-virginica
28,6.3,2.9,5.6,1.8,Iris-virginica,Iris-virginica
29,6.5,3,5.8,2.2,Iris-virginica,Iris-virginica
30,7.6,3,6.6,2.1,Iris-virginica,Iris-virginica
31,4.9,2.5,4.5,1.7,Iris-virginica,Iris-virginica
32,7.3,2.9,6.3,1.8,Iris-virginica,Iris-virginica
33,6.7,2.5,5.8,1.8,Iris-virginica,Iris-virginica
34,7.2,3.6,6.1,2.5,Iris-virginica,Iris-virginica
35,6.5,3.2,5.1,2,Iris-virginica,Iris-virginica
36,6.4,2.7,5.3,1.9,Iris-virginica,Iris-virginica
37,6.8,3,5.5,2.1,Iris-virginica,Iris-virginica
